TicketID,CustomerID,Market,Region,OpenDate,CloseDate,IssueType,Resolution,Resolved,CSAT
TKT-5P4ZHPBA,CUST-021818,NA,USA-West,20-08-2024,,Network,Resolved,No,3
TKT-OUGO0IA1,CUST-034402,APAC,Japan,23-06-2024,21-07-2024,International,Refund Issued,Yes,5
TKT-28MN4MAZ,CUST-027370,NA,USA-West,22-10-2024,12-11-2024,Network,Refund Issued,Yes,3
TKT-G30M438B,CUST-029201,NA,Canada-East,16-05-2025,23-05-2025,Value Added Services,Technician Visit,Yes,4
TKT-3BZH3INF,CUST-024262,EU,Italy,05-02-2022,,Device,Refund Issued,No,3
TKT-KOOAX52N,CUST-004248,APAC,Australia,02-02-2024,17-02-2024,Other,Resolved,Yes,2
TKT-F126GQIC,CUST-007541,APAC,South Korea,14-03-2024,25-03-2024,Device,No Issue Found,Yes,4
TKT-XUGK1BDG,CUST-039631,APAC,Singapore,28-04-2022,07-05-2022,Network,Resolved,Yes,2
TKT-EKALQMTJ,CUST-032456,APAC,South Korea,03-02-2024,23-02-2024,Roaming,Plan Adjusted,Yes,5
TKT-8CN26MEV,CUST-025468,NA,USA-West,06-03-2022,,Other,Resolved,No,4
TKT-FDFHMMQM,CUST-002798,NA,USA-West,04-11-2024,21-11-2024,Other,Technician Visit,Yes,4
TKT-01Y9CFIU,CUST-025486,MEA,Saudi Arabia,01-06-2024,18-06-2024,Other,Refund Issued,Yes,5
TKT-WE1PUQDQ,CUST-018955,APAC,Singapore,19-03-2024,,Network,Resolved,No,4
TKT-GSFPJQNW,CUST-038844,APAC,India,25-02-2023,28-02-2023,Device,Resolved,Yes,5
TKT-A7FNIEP1,CUST-024041,EU,France,25-11-2022,,International,Resolved,No,5
TKT-GNC2B9HI,CUST-038877,MEA,UAE,27-11-2023,,Other,Plan Adjusted,No,1
TKT-S7AEO0FH,CUST-023733,EU,France,03-06-2025,22-06-2025,Network,Resolved,Yes,5
TKT-9PJFOP63,CUST-022298,NA,Canada-East,24-12-2024,05-01-2025,Device,Resolved,Yes,5
TKT-8S6YFJ0T,CUST-029054,LATAM,Brazil,16-01-2023,25-01-2023,Value Added Services,Refund Issued,Yes,5
TKT-8V0C6ZXO,CUST-038248,MEA,South Africa,14-11-2024,16-11-2024,Other,Resolved,Yes,3
TKT-AX4WPZBW,CUST-037917,EU,Italy,07-02-2022,24-02-2022,Network,Resolved,Yes,3
TKT-8V0WOQZU,CUST-029032,APAC,Japan,30-10-2022,24-11-2022,Value Added Services,No Issue Found,Yes,4
TKT-AX40UNFK,CUST-015510,APAC,Australia,15-01-2023,02-02-2023,International,Technician Visit,Yes,4
TKT-DJLB6LSN,CUST-029436,MEA,UAE,26-07-2025,04-08-2025,Plan Change,Technician Visit,Yes,3
TKT-XRPM0UHV,CUST-012543,MEA,UAE,24-01-2022,13-02-2022,Device,Escalated,Yes,4
TKT-KSIMJU3N,CUST-034516,MEA,UAE,02-04-2022,17-04-2022,Roaming,Escalated,Yes,4
TKT-MWWNPI1X,CUST-012723,MEA,South Africa,28-01-2024,31-01-2024,Network,Resolved,Yes,4
TKT-5K1SFOKR,CUST-003235,EU,UK,30-04-2022,02-05-2022,Plan Change,Resolved,Yes,5
TKT-FJCMU3WC,CUST-004420,APAC,Japan,21-09-2023,06-10-2023,International,Refund Issued,Yes,3
TKT-BCGBXUDP,CUST-035496,MEA,Saudi Arabia,10-11-2022,28-11-2022,Plan Change,Resolved,Yes,5
TKT-IEOY2RR0,CUST-037421,EU,Germany,03-12-2023,06-12-2023,Billing,Resolved,Yes,5
TKT-BQ1F9ASM,CUST-014885,EU,Spain,22-02-2025,08-03-2025,Network,Resolved,Yes,5
TKT-0EJ8A4DT,CUST-034051,NA,USA-East,28-07-2025,10-08-2025,Device,Plan Adjusted,Yes,5
TKT-YZ2GBTZB,CUST-013460,APAC,Japan,15-10-2024,16-10-2024,Plan Change,No Issue Found,Yes,5
TKT-HU9N6RGK,CUST-035641,NA,Canada-West,18-05-2022,,Roaming,Resolved,No,4
TKT-GQMF91ZJ,CUST-029069,NA,Canada-East,09-02-2024,15-02-2024,Plan Change,No Issue Found,Yes,4
TKT-A4MYCFKD,CUST-014207,EU,Spain,21-06-2023,01-07-2023,Network,Resolved,Yes,4
TKT-3QRRZF8D,CUST-028301,NA,Canada-East,08-10-2022,23-10-2022,Network,Resolved,Yes,2
TKT-U2YDNHPG,CUST-001067,APAC,India,19-05-2025,05-06-2025,Plan Change,Technician Visit,Yes,2
TKT-6GN4IG98,CUST-028088,LATAM,Colombia,08-04-2023,17-04-2023,Roaming,Escalated,Yes,3
TKT-DKLSGN6E,CUST-039951,NA,USA-West,04-08-2022,29-08-2022,Network,No Issue Found,Yes,5
TKT-OZIBHFVO,CUST-014755,EU,UK,17-04-2025,13-05-2025,Plan Change,Resolved,Yes,4
TKT-2ZFIG342,CUST-020948,APAC,Australia,08-11-2022,09-11-2022,Roaming,No Issue Found,Yes,5
TKT-CGWL8WOF,CUST-027347,EU,Italy,11-03-2025,12-03-2025,Network,Resolved,Yes,3
TKT-O18RUP6N,CUST-014632,LATAM,Mexico,10-08-2024,03-09-2024,Other,Resolved,Yes,5
TKT-RFWQ78XG,CUST-001578,NA,USA-West,07-09-2022,08-09-2022,Network,Resolved,Yes,4
TKT-WAZHS9DJ,CUST-001885,APAC,India,16-01-2023,30-01-2023,Network,Resolved,Yes,3
TKT-HD0LW7GN,CUST-002843,MEA,UAE,23-04-2022,10-05-2022,Network,Technician Visit,Yes,1
TKT-8EINQSW6,CUST-011801,APAC,India,25-09-2023,,Plan Change,Refund Issued,No,5
TKT-IJ6PFHSX,CUST-008433,APAC,Australia,08-02-2024,28-02-2024,Network,Refund Issued,Yes,4
TKT-FHN793ND,CUST-021479,APAC,Australia,16-06-2023,20-06-2023,Network,Resolved,Yes,4
TKT-94PD93RY,CUST-037885,APAC,Singapore,11-09-2023,30-09-2023,Device,Resolved,Yes,3
TKT-BY9K57L9,CUST-039640,APAC,South Korea,30-01-2024,24-02-2024,Network,Escalated,Yes,3
TKT-SMH2U295,CUST-018780,LATAM,Mexico,20-07-2024,23-07-2024,Network,Resolved,Yes,5
TKT-KQ8GXQSK,CUST-018409,EU,Spain,23-11-2022,03-12-2022,Billing,Resolved,Yes,4
TKT-N7O2S89K,CUST-018788,MEA,Saudi Arabia,21-03-2023,06-04-2023,Billing,Escalated,Yes,4
TKT-DWPNI2LY,CUST-021065,NA,Canada-West,10-05-2025,,International,Resolved,No,3
TKT-YWTOLUSG,CUST-032063,NA,USA-East,22-01-2023,26-01-2023,Network,Plan Adjusted,Yes,4
TKT-95I0LP2K,CUST-024086,APAC,Japan,01-10-2022,04-10-2022,Network,Escalated,Yes,4
TKT-ZGI4WIS0,CUST-033644,NA,Canada-West,02-04-2022,,Billing,Plan Adjusted,No,5
TKT-UINRWK3K,CUST-010572,LATAM,Argentina,18-09-2024,18-09-2024,Plan Change,Resolved,Yes,1
TKT-1W6LM2E3,CUST-014185,NA,USA-East,25-06-2022,29-06-2022,Network,Resolved,Yes,5
TKT-26ILI608,CUST-009463,NA,Canada-West,25-06-2025,06-07-2025,Billing,Resolved,Yes,4
TKT-EBX9V3F7,CUST-033269,APAC,Australia,20-09-2023,,Network,Resolved,No,4
TKT-WUSJAJND,CUST-028061,EU,UK,21-10-2024,13-11-2024,Billing,No Issue Found,Yes,2
TKT-CZDU4HCA,CUST-028100,EU,UK,29-10-2023,13-11-2023,Network,Resolved,Yes,3
TKT-C0RE5M25,CUST-009106,APAC,Japan,29-07-2022,02-08-2022,Network,Plan Adjusted,Yes,1
TKT-Z1P2OJ0H,CUST-037812,NA,USA-East,07-01-2024,,Billing,Technician Visit,No,5
TKT-YOSQWO8F,CUST-034088,EU,Spain,13-02-2025,26-02-2025,Roaming,Resolved,Yes,3
TKT-MP7SOJWG,CUST-011432,NA,Canada-West,16-04-2022,04-05-2022,Network,Resolved,Yes,4
TKT-I2LA1HB7,CUST-003842,APAC,South Korea,10-01-2022,04-02-2022,Other,Technician Visit,Yes,3
TKT-QSU2BYWK,CUST-034021,LATAM,Brazil,28-03-2023,09-04-2023,Device,Plan Adjusted,Yes,4
TKT-SA8Z8QXK,CUST-016088,LATAM,Argentina,23-05-2024,,International,Resolved,No,5
TKT-VEY11CO4,CUST-015150,APAC,Australia,07-10-2024,21-10-2024,Network,Resolved,Yes,5
TKT-GEE2V7RY,CUST-024196,EU,Italy,27-04-2024,,Other,Escalated,No,3
TKT-HMW9W51K,CUST-002380,LATAM,Colombia,26-05-2023,21-06-2023,Other,Refund Issued,Yes,1
TKT-4AVSLUO5,CUST-022398,APAC,Japan,27-06-2024,03-07-2024,Network,Resolved,Yes,2
TKT-DSL52IKY,CUST-008178,NA,USA-East,31-01-2022,,Billing,No Issue Found,No,4
TKT-W6WGLZ5I,CUST-022875,NA,Canada-West,23-10-2022,01-11-2022,Network,Resolved,Yes,3
TKT-NFTKI91Q,CUST-005577,NA,USA-East,11-05-2023,11-05-2023,International,Plan Adjusted,Yes,5
TKT-PDIBXARO,CUST-030733,NA,Canada-West,08-05-2025,31-05-2025,Other,Resolved,Yes,5
TKT-IZ6OA5KE,CUST-022130,EU,Spain,09-02-2024,29-02-2024,International,Refund Issued,Yes,2
TKT-C1HSGQP1,CUST-019039,MEA,UAE,20-04-2022,22-04-2022,Billing,Resolved,Yes,3
TKT-2JF35T1V,CUST-033759,EU,UK,12-05-2023,28-05-2023,Network,Technician Visit,Yes,3
TKT-M1RJ9HTP,CUST-000605,APAC,Australia,03-04-2023,04-04-2023,Billing,Escalated,Yes,3
TKT-TAC1M0CM,CUST-032772,NA,Canada-West,04-07-2023,,International,Resolved,No,4
TKT-XQQ7JXZC,CUST-014255,LATAM,Mexico,08-05-2025,01-06-2025,International,Plan Adjusted,Yes,3
TKT-RHQN6A6T,CUST-022231,EU,Italy,13-04-2024,15-04-2024,Roaming,Escalated,Yes,3
TKT-FP4MNOQH,CUST-011723,EU,Spain,08-12-2024,13-12-2024,Value Added Services,Resolved,Yes,2
TKT-XX2M5ALE,CUST-001717,APAC,Australia,26-03-2025,15-04-2025,Network,Escalated,Yes,1
TKT-56CSILEK,CUST-021448,APAC,India,18-12-2022,12-01-2023,Network,Plan Adjusted,Yes,5
TKT-LE5AJFC3,CUST-029040,NA,USA-East,15-10-2022,04-11-2022,Network,No Issue Found,Yes,3
TKT-ON2CXMY2,CUST-034452,APAC,Japan,28-01-2025,13-02-2025,Billing,Refund Issued,Yes,3
TKT-G8FE4K0D,CUST-036921,NA,Canada-East,28-10-2024,28-10-2024,Network,Resolved,Yes,5
TKT-9G77W3KJ,CUST-028305,LATAM,Colombia,09-03-2025,,Network,Resolved,No,4
TKT-3BLXK0DB,CUST-000535,NA,Canada-East,20-06-2024,15-07-2024,Billing,Resolved,Yes,4
TKT-CRWIIAKW,CUST-036062,NA,Canada-West,23-08-2023,14-09-2023,Network,Resolved,Yes,1
TKT-6CQCAOG8,CUST-027971,NA,USA-East,29-05-2025,25-06-2025,Roaming,No Issue Found,Yes,4
TKT-ILDTH5UC,CUST-020824,EU,Italy,24-12-2024,13-01-2025,Billing,Plan Adjusted,Yes,2
TKT-SPKZZ1HC,CUST-006437,NA,USA-East,24-09-2023,04-10-2023,Billing,Resolved,Yes,3
TKT-89SMTJPK,CUST-036852,MEA,Saudi Arabia,03-10-2023,15-10-2023,Other,Plan Adjusted,Yes,2
TKT-4DERX0TP,CUST-035027,APAC,Singapore,20-11-2022,09-12-2022,Device,Resolved,Yes,3
TKT-EYY0X6FC,CUST-013551,EU,Germany,08-10-2022,13-10-2022,Network,Resolved,Yes,4
TKT-O9QYLE6L,CUST-030351,APAC,Japan,25-08-2024,14-09-2024,Value Added Services,Technician Visit,Yes,1
TKT-OGLQIJHU,CUST-016289,APAC,Singapore,22-04-2024,,Network,Escalated,No,3
TKT-Z1WONGML,CUST-026954,APAC,Japan,26-05-2022,08-06-2022,Network,Resolved,Yes,4
TKT-NTZ277DJ,CUST-037733,EU,Germany,12-06-2023,04-07-2023,Billing,Resolved,Yes,5
TKT-K02GO8Q1,CUST-031506,LATAM,Chile,18-05-2024,31-05-2024,Billing,Resolved,Yes,1
TKT-7VNHHL4E,CUST-017737,NA,Canada-East,18-11-2023,13-12-2023,Network,Resolved,Yes,5
TKT-YWE2ZL9R,CUST-029299,NA,Canada-West,30-09-2023,07-10-2023,Other,Resolved,Yes,5
TKT-J6CTBHZ3,CUST-026617,NA,Canada-East,28-07-2024,25-08-2024,Other,Resolved,Yes,4
TKT-H8GRAA5S,CUST-038494,MEA,South Africa,11-07-2022,14-07-2022,Billing,Plan Adjusted,Yes,4
TKT-LSQXNP90,CUST-024873,APAC,Japan,16-09-2023,,Device,Resolved,No,4
TKT-6XOHZIY6,CUST-014316,NA,USA-West,13-07-2025,20-07-2025,Network,Escalated,Yes,3
TKT-XLHW6LAT,CUST-035343,APAC,Japan,18-08-2023,,Device,Resolved,No,4
TKT-HHB3R0Z1,CUST-028726,EU,France,21-04-2024,,Network,Resolved,No,5
TKT-FNEUMM6U,CUST-001536,APAC,Japan,24-06-2025,30-06-2025,Network,Resolved,Yes,5
TKT-50TC72XK,CUST-003943,APAC,India,09-08-2023,21-08-2023,Billing,Escalated,Yes,3
TKT-G6CNR9I2,CUST-037369,APAC,Singapore,19-10-2022,,Billing,Resolved,No,4
TKT-C24UZ0YD,CUST-024094,EU,Italy,08-01-2023,27-01-2023,Network,Technician Visit,Yes,5
TKT-R7QNLJMD,CUST-011091,MEA,Saudi Arabia,17-06-2025,14-07-2025,Value Added Services,No Issue Found,Yes,2
TKT-0DO5J5I6,CUST-013806,APAC,South Korea,30-06-2025,19-07-2025,Device,Technician Visit,Yes,1
TKT-G6WBJJ6Z,CUST-003238,MEA,Kenya,16-12-2022,25-12-2022,Billing,Plan Adjusted,Yes,1
TKT-KB3SWAS2,CUST-025505,NA,Canada-East,17-01-2024,15-02-2024,Value Added Services,Resolved,Yes,3
TKT-7YTDYDG9,CUST-039854,APAC,Australia,12-01-2023,21-01-2023,Network,Resolved,Yes,1
TKT-L0DAYT19,CUST-015512,LATAM,Brazil,02-01-2023,,Value Added Services,Resolved,No,4
TKT-4LT5JWVT,CUST-011052,APAC,South Korea,13-12-2024,27-12-2024,Billing,Resolved,Yes,4
TKT-ERTWLXMJ,CUST-000692,EU,Italy,16-06-2022,28-06-2022,Billing,Resolved,Yes,2
TKT-Z58H93KW,CUST-001695,EU,UK,16-03-2023,24-03-2023,International,Resolved,Yes,4
TKT-J04CO3TE,CUST-037006,APAC,Japan,22-02-2024,12-03-2024,Billing,Resolved,Yes,4
TKT-NJF7412A,CUST-017450,EU,UK,04-08-2023,24-08-2023,International,Resolved,Yes,1
TKT-6LFGUD2N,CUST-037276,EU,Germany,28-09-2024,11-10-2024,Billing,Resolved,Yes,4
TKT-P6QEORL9,CUST-032511,EU,Spain,28-12-2022,15-01-2023,Value Added Services,Resolved,Yes,5
TKT-W9VS3BET,CUST-001705,EU,Germany,04-07-2024,13-07-2024,Device,No Issue Found,Yes,5
TKT-292P4274,CUST-004801,APAC,Australia,25-01-2025,31-01-2025,Network,Resolved,Yes,5
TKT-UB2HNECC,CUST-026352,NA,Canada-East,31-10-2023,04-11-2023,Roaming,Resolved,Yes,3
TKT-EI1H6LB7,CUST-033051,MEA,Saudi Arabia,27-02-2025,20-03-2025,Plan Change,No Issue Found,Yes,4
TKT-IML2UI55,CUST-029335,NA,Canada-West,03-05-2025,21-05-2025,Roaming,Refund Issued,Yes,5
TKT-CA3PTUFS,CUST-019236,EU,Spain,18-10-2024,21-10-2024,Billing,Resolved,Yes,5
TKT-B3ASJ0CY,CUST-033389,APAC,Singapore,28-05-2024,,Device,Escalated,No,3
TKT-55TVJGLP,CUST-019369,LATAM,Mexico,18-03-2024,,Roaming,Resolved,No,4
TKT-JJVET9E3,CUST-015542,APAC,India,09-07-2025,05-08-2025,International,Resolved,Yes,5
TKT-CPD4HF4F,CUST-019083,APAC,South Korea,03-11-2024,28-11-2024,Network,Resolved,Yes,5
TKT-FFPYTRZ1,CUST-004334,NA,USA-West,06-11-2023,24-11-2023,Network,Resolved,Yes,5
TKT-APB13B7L,CUST-024169,MEA,UAE,03-10-2024,,Value Added Services,Resolved,No,4
TKT-H7Z1QRGI,CUST-011750,APAC,Singapore,02-10-2023,30-10-2023,Network,Resolved,Yes,4
TKT-PCQB8IDE,CUST-017939,MEA,Saudi Arabia,04-03-2023,29-03-2023,Other,Plan Adjusted,Yes,3
TKT-0WS36IOF,CUST-014269,LATAM,Argentina,23-07-2024,04-08-2024,Network,No Issue Found,Yes,3
TKT-6ZC7TW6O,CUST-033867,APAC,Japan,01-08-2024,03-08-2024,Roaming,Technician Visit,Yes,1
TKT-7WXEZEO1,CUST-027227,EU,Spain,12-04-2023,19-04-2023,Billing,Technician Visit,Yes,5
TKT-4A48DKC2,CUST-026865,LATAM,Brazil,30-05-2024,,Roaming,Technician Visit,No,5
TKT-IOFPGV4Z,CUST-029153,EU,Italy,06-07-2022,04-08-2022,Plan Change,Escalated,Yes,4
TKT-OM70ADTX,CUST-020521,APAC,South Korea,06-03-2025,21-03-2025,Billing,Resolved,Yes,4
TKT-RWMFN1H2,CUST-032419,NA,Canada-East,03-08-2023,21-08-2023,Roaming,Escalated,Yes,4
TKT-88QNFQ15,CUST-016405,LATAM,Brazil,13-10-2022,04-11-2022,Billing,Resolved,Yes,3
TKT-PKPOYXSD,CUST-023339,NA,Canada-East,04-01-2022,19-01-2022,International,Refund Issued,Yes,5
TKT-L2TN6QFJ,CUST-023802,EU,Germany,25-07-2024,12-08-2024,Device,Plan Adjusted,Yes,5
TKT-QF1JYVZE,CUST-000752,MEA,South Africa,01-09-2023,23-09-2023,International,Resolved,Yes,4
TKT-OAO85WYH,CUST-039585,MEA,Kenya,10-10-2022,06-11-2022,Plan Change,Resolved,Yes,4
TKT-DH01D4JL,CUST-005835,LATAM,Mexico,31-03-2024,24-04-2024,Value Added Services,Refund Issued,Yes,3
TKT-AV5KBDAP,CUST-021756,APAC,South Korea,03-12-2023,23-12-2023,Network,Resolved,Yes,5
TKT-CWZMB8OV,CUST-029925,NA,USA-West,21-10-2024,21-10-2024,Other,Resolved,Yes,4
TKT-GQS53B65,CUST-023320,APAC,South Korea,11-04-2025,,Billing,No Issue Found,No,3
TKT-WBTNIQNL,CUST-004247,APAC,Japan,28-12-2022,,Network,Refund Issued,No,1
TKT-4MNNV0GT,CUST-017565,NA,USA-West,13-08-2024,03-09-2024,Plan Change,Resolved,Yes,5
TKT-4UUXQQZX,CUST-000787,NA,Canada-East,10-07-2022,30-07-2022,International,Resolved,Yes,3
TKT-88X2AZFZ,CUST-026479,EU,Germany,20-05-2023,29-05-2023,Billing,Resolved,Yes,5
TKT-QA70EGHH,CUST-001858,EU,Italy,02-06-2024,27-06-2024,Network,Resolved,Yes,5
TKT-LSS8BWAC,CUST-000551,NA,Canada-East,04-06-2023,11-06-2023,Billing,Resolved,Yes,3
TKT-F7LELB26,CUST-015789,EU,Germany,27-09-2023,21-10-2023,Network,Plan Adjusted,Yes,5
TKT-S7WAW20K,CUST-001538,NA,Canada-West,24-01-2022,15-02-2022,Other,Escalated,Yes,5
TKT-Z1RG16WN,CUST-024794,EU,France,09-08-2023,05-09-2023,Billing,Resolved,Yes,1
TKT-ZO7ZDSVG,CUST-007283,APAC,India,25-04-2022,10-05-2022,Roaming,Resolved,Yes,4
TKT-JJJ7L8EG,CUST-029479,APAC,Japan,16-10-2022,,Roaming,Escalated,No,3
TKT-P0WKRHGO,CUST-016597,APAC,Australia,24-06-2022,05-07-2022,International,Escalated,Yes,4
TKT-B89LRXJW,CUST-000242,MEA,Saudi Arabia,07-04-2023,27-04-2023,Network,Resolved,Yes,5
TKT-7U7DU2NJ,CUST-001341,APAC,Singapore,01-07-2022,13-07-2022,Network,Resolved,Yes,4
TKT-3LAZAYU3,CUST-015798,LATAM,Colombia,16-04-2022,23-04-2022,Network,Resolved,Yes,3
TKT-2LQGMQ5X,CUST-037992,APAC,Singapore,26-09-2024,08-10-2024,Network,Resolved,Yes,5
TKT-LVDBVQGZ,CUST-014358,EU,Germany,26-04-2024,20-05-2024,Device,Resolved,Yes,5
TKT-UB7KKVV6,CUST-027087,LATAM,Brazil,03-02-2023,07-02-2023,Other,Resolved,Yes,4
TKT-K4EF7O8W,CUST-017055,EU,UK,05-01-2025,07-01-2025,Value Added Services,Resolved,Yes,3
TKT-F68G8PFI,CUST-013433,APAC,South Korea,19-10-2023,11-11-2023,Network,Refund Issued,Yes,4
TKT-B70NDLS9,CUST-017361,NA,Canada-East,25-01-2025,,Plan Change,Technician Visit,No,4
TKT-8F01G0HG,CUST-002293,APAC,India,24-07-2024,08-08-2024,Network,Technician Visit,Yes,4
TKT-X3GGAS41,CUST-037269,APAC,South Korea,30-10-2022,17-11-2022,Device,Resolved,Yes,1
TKT-OMKRXML9,CUST-004822,APAC,Singapore,23-05-2023,,Roaming,Technician Visit,No,5
TKT-LYIVM7IX,CUST-027158,LATAM,Chile,06-07-2023,29-07-2023,Billing,Plan Adjusted,Yes,4
TKT-4T5Z0M0C,CUST-011973,EU,Italy,18-08-2023,08-09-2023,Value Added Services,Technician Visit,Yes,3
TKT-TMNNY16F,CUST-002424,EU,UK,22-01-2023,17-02-2023,Network,Resolved,Yes,3
TKT-63JDA2E9,CUST-004936,EU,Spain,20-08-2023,28-08-2023,Network,Resolved,Yes,4
TKT-R3PHCUGD,CUST-031434,APAC,South Korea,04-10-2023,14-10-2023,Roaming,Resolved,Yes,4
TKT-DN7ZIPXE,CUST-023488,EU,Italy,09-08-2022,,Device,Resolved,No,1
TKT-43N3HU2I,CUST-014650,NA,USA-West,30-06-2025,26-07-2025,Billing,Escalated,Yes,3
TKT-LWWD7VRC,CUST-023890,EU,Italy,03-12-2023,03-12-2023,Value Added Services,Plan Adjusted,Yes,5
TKT-MI9WU3IQ,CUST-015912,NA,USA-East,10-03-2022,04-04-2022,Network,Resolved,Yes,4
TKT-IQM9LSQG,CUST-032411,MEA,Saudi Arabia,04-03-2023,14-03-2023,Other,Resolved,Yes,5
TKT-9PRXJADC,CUST-012732,EU,France,28-12-2023,03-01-2024,Device,Resolved,Yes,4
TKT-QJ241PIP,CUST-039244,NA,Canada-West,15-05-2023,,Plan Change,Resolved,No,5
TKT-DGAYN2YW,CUST-033117,APAC,Japan,15-08-2023,,Billing,Plan Adjusted,No,4
TKT-FYIXASBJ,CUST-038640,NA,Canada-West,27-12-2023,23-01-2024,Network,Resolved,Yes,2
TKT-2S4SGLG8,CUST-008520,LATAM,Brazil,18-02-2022,17-03-2022,Network,Resolved,Yes,5
TKT-5MKRCW25,CUST-025762,NA,USA-West,05-03-2022,31-03-2022,Network,No Issue Found,Yes,3
TKT-UBCPX7G0,CUST-010502,APAC,South Korea,30-11-2022,01-12-2022,Other,Resolved,Yes,5
TKT-V7HVOFAN,CUST-025094,APAC,Australia,23-10-2024,11-11-2024,International,Refund Issued,Yes,3
TKT-SOUYR6FX,CUST-025140,LATAM,Chile,10-02-2025,14-02-2025,Network,Plan Adjusted,Yes,5
TKT-5UD20NQM,CUST-010944,EU,Italy,11-01-2025,06-02-2025,Network,Resolved,Yes,1
TKT-MJ6RB7ZQ,CUST-009206,APAC,India,17-11-2022,07-12-2022,International,Resolved,Yes,5
