CustomerID,AccountID,Market,Region,Segment,ContractType,CurrentPlan,DeviceCategory,TenureMonths
CUST-000050,ACC-000050,APAC,India,Consumer,Postpaid-Monthly,Unlimited,IoT/Modem,46
CUST-000051,ACC-000051,MEA,South Africa,Consumer,Postpaid-Monthly,Premium,Smartphone-Flagship,57
CUST-000052,ACC-000052,LATAM,Mexico,Consumer,Postpaid-Monthly,Unlimited,Feature Phone,29
CUST-000053,ACC-000053,MEA,UAE,Enterprise,Prepaid,Basic,Smartphone-Mid,43
CUST-000054,ACC-000054,LATAM,Colombia,Consumer,Postpaid-Annual,Unlimited,Smartphone-Mid,1
CUST-000055,ACC-000055,NA,USA-East,Enterprise,Prepaid,Premium,Smartphone-Mid,27
CUST-000056,ACC-000056,MEA,South Africa,Consumer,Postpaid-Annual,Basic,Smartphone-Budget,43
CUST-000057,ACC-000057,APAC,India,Enterprise,Prepaid,Standard,Tablet,23
CUST-000058,ACC-000058,APAC,India,Consumer,Prepaid,Basic,Feature Phone,43
CUST-000059,ACC-000059,APAC,India,Consumer,Prepaid,Family,Feature Phone,21
CUST-000060,ACC-000060,EU,Italy,Small Business,Postpaid-Monthly,Unlimited,Smartphone-Flagship,27
CUST-000061,ACC-000061,EU,France,Consumer,Prepaid,Standard,Feature Phone,44
CUST-000062,ACC-000062,APAC,India,Consumer,Postpaid-Monthly,Family,IoT/Modem,55
CUST-000063,ACC-000063,LATAM,Chile,Consumer,Postpaid-Monthly,Unlimited,IoT/Modem,4
CUST-000064,ACC-000064,EU,UK,Consumer,Prepaid,Basic,Smartphone-Budget,28
CUST-000065,ACC-000065,APAC,Japan,Consumer,Postpaid-Monthly,Enterprise-Pro,IoT/Modem,41
CUST-000066,ACC-000066,NA,Canada-East,Consumer,Prepaid,SMB-Plus,Tablet,15
CUST-000067,ACC-000067,APAC,Australia,Enterprise,Postpaid-Monthly,Premium,Smartphone-Flagship,43
CUST-000068,ACC-000068,LATAM,Argentina,Consumer,Postpaid-Monthly,Unlimited,Feature Phone,13
CUST-000069,ACC-000069,APAC,Australia,Small Business,Prepaid,Premium,Tablet,47
CUST-000070,ACC-000070,MEA,South Africa,Consumer,Prepaid,Standard,Smartphone-Mid,41
CUST-000071,ACC-000071,LATAM,Chile,Consumer,Prepaid,Basic,Smartphone-Flagship,42
CUST-000072,ACC-000072,APAC,Japan,Small Business,Postpaid-Monthly,Unlimited,IoT/Modem,55
CUST-000073,ACC-000073,APAC,South Korea,Consumer,Prepaid,Basic,Smartphone-Budget,44
CUST-000074,ACC-000074,LATAM,Mexico,Consumer,Prepaid,Unlimited,Smartphone-Flagship,23
CUST-000075,ACC-000075,NA,Canada-West,Consumer,Postpaid-Monthly,Unlimited,Smartphone-Mid,1
CUST-000076,ACC-000076,NA,Canada-East,Consumer,Prepaid,Enterprise-Pro,Tablet,53
CUST-000077,ACC-000077,LATAM,Brazil,Consumer,Prepaid,Standard,Smartphone-Mid,22
CUST-000078,ACC-000078,APAC,India,Small Business,Postpaid-Monthly,Premium,Smartphone-Mid,54
CUST-000079,ACC-000079,EU,Germany,Consumer,Postpaid-Annual,Basic,Smartphone-Budget,64
CUST-000080,ACC-000080,APAC,South Korea,Small Business,Postpaid-Annual,Unlimited,Smartphone-Mid,50
CUST-000081,ACC-000081,LATAM,Chile,Small Business,Postpaid-Monthly,Premium,Tablet,27
CUST-000082,ACC-000082,NA,USA-West,Enterprise,Prepaid,Standard,Smartphone-Flagship,14
CUST-000083,ACC-000083,EU,France,Consumer,Postpaid-Monthly,Premium,Smartphone-Mid,1
CUST-000084,ACC-000084,APAC,South Korea,Consumer,Prepaid,Premium,Smartphone-Mid,45
CUST-000085,ACC-000085,EU,UK,Consumer,Prepaid,Unlimited,Feature Phone,46
CUST-000086,ACC-000086,EU,Spain,Small Business,Postpaid-Monthly,Basic,Smartphone-Flagship,6
CUST-000087,ACC-000087,NA,Canada-West,Consumer,Postpaid-Annual,Unlimited,Tablet,69
CUST-000088,ACC-000088,NA,Canada-East,Small Business,Prepaid,SMB-Plus,Smartphone-Mid,63
CUST-000089,ACC-000089,LATAM,Argentina,Consumer,Prepaid,Basic,IoT/Modem,48
CUST-000090,ACC-000090,EU,Spain,Consumer,Prepaid,Standard,Smartphone-Mid,53
CUST-000091,ACC-000091,APAC,Japan,Consumer,Prepaid,Premium,Smartphone-Budget,55
CUST-000092,ACC-000092,NA,USA-East,Consumer,Postpaid-Monthly,Unlimited,Smartphone-Mid,62
CUST-000093,ACC-000093,NA,Canada-East,Small Business,Postpaid-Monthly,Premium,Smartphone-Flagship,42
CUST-000094,ACC-000094,NA,Canada-East,Consumer,Postpaid-Annual,Premium,Smartphone-Budget,7
CUST-000095,ACC-000095,LATAM,Mexico,Consumer,Prepaid,Enterprise-Pro,Smartphone-Mid,59
CUST-000096,ACC-000096,EU,Germany,Consumer,Postpaid-Monthly,Standard,Smartphone-Budget,19
CUST-000097,ACC-000097,NA,Canada-West,Small Business,Prepaid,Premium,Smartphone-Mid,51
CUST-000098,ACC-000098,EU,Germany,Small Business,Prepaid,Unlimited,Smartphone-Budget,58
CUST-000099,ACC-000099,APAC,Australia,Small Business,Postpaid-Monthly,Basic,Smartphone-Mid,39
CUST-000100,ACC-000100,APAC,South Korea,Small Business,Postpaid-Monthly,Enterprise-Pro,Smartphone-Mid,31
CUST-000101,ACC-000101,APAC,South Korea,Consumer,Postpaid-Monthly,Basic,Smartphone-Budget,71
CUST-000102,ACC-000102,NA,USA-East,Consumer,Prepaid,Premium,Smartphone-Mid,31
CUST-000103,ACC-000103,EU,Italy,Consumer,Postpaid-Monthly,Premium,Feature Phone,37
CUST-000104,ACC-000104,EU,UK,Consumer,Prepaid,Premium,IoT/Modem,50
CUST-000105,ACC-000105,MEA,UAE,Consumer,Prepaid,Basic,Smartphone-Budget,32
CUST-000106,ACC-000106,APAC,Singapore,Consumer,Postpaid-Monthly,Basic,Smartphone-Flagship,21
CUST-000107,ACC-000107,EU,UK,Consumer,Prepaid,Standard,Smartphone-Flagship,69
CUST-000108,ACC-000108,NA,USA-West,Consumer,Postpaid-Annual,Unlimited,Smartphone-Flagship,23
CUST-000109,ACC-000109,APAC,South Korea,Consumer,Prepaid,Basic,IoT/Modem,63
CUST-000110,ACC-000110,APAC,Japan,Enterprise,Prepaid,Unlimited,Smartphone-Budget,63
CUST-000111,ACC-000111,APAC,South Korea,Consumer,Postpaid-Monthly,Standard,Feature Phone,31
CUST-000112,ACC-000112,APAC,India,Consumer,Postpaid-Monthly,Basic,Feature Phone,7
CUST-000113,ACC-000113,MEA,South Africa,Consumer,Prepaid,Standard,Smartphone-Mid,33
CUST-000114,ACC-000114,LATAM,Brazil,Consumer,Postpaid-Annual,Premium,IoT/Modem,21
CUST-000115,ACC-000115,NA,Canada-East,Consumer,Prepaid,Standard,Smartphone-Mid,23
CUST-000116,ACC-000116,LATAM,Argentina,Consumer,Postpaid-Monthly,Unlimited,Smartphone-Mid,44
CUST-000117,ACC-000117,LATAM,Argentina,Consumer,Prepaid,Premium,Smartphone-Mid,65
CUST-000118,ACC-000118,APAC,Japan,Small Business,Postpaid-Monthly,Standard,Smartphone-Budget,10
CUST-000119,ACC-000119,LATAM,Colombia,Enterprise,Prepaid,SMB-Plus,Smartphone-Flagship,13
CUST-000120,ACC-000120,NA,Canada-East,Consumer,Prepaid,Standard,Smartphone-Flagship,34
CUST-000121,ACC-000121,LATAM,Mexico,Consumer,Postpaid-Monthly,Standard,Smartphone-Budget,64
CUST-000122,ACC-000122,LATAM,Argentina,Consumer,Postpaid-Monthly,SMB-Plus,Smartphone-Flagship,43
CUST-000123,ACC-000123,EU,Italy,Consumer,Prepaid,Unlimited,Smartphone-Budget,31
CUST-000124,ACC-000124,APAC,South Korea,Consumer,Prepaid,Basic,Smartphone-Mid,64
CUST-000125,ACC-000125,APAC,Japan,Consumer,Prepaid,Premium,Feature Phone,42
CUST-000126,ACC-000126,EU,UK,Small Business,Prepaid,Premium,Smartphone-Budget,30
CUST-000127,ACC-000127,LATAM,Mexico,Small Business,Prepaid,Standard,Smartphone-Mid,50
CUST-000128,ACC-000128,LATAM,Chile,Consumer,Postpaid-Annual,SMB-Plus,Smartphone-Mid,68
CUST-000129,ACC-000129,APAC,Japan,Consumer,Postpaid-Monthly,Premium,Tablet,16
CUST-000130,ACC-000130,EU,UK,Consumer,Postpaid-Annual,Premium,Tablet,6
CUST-000131,ACC-000131,EU,UK,Consumer,Prepaid,Enterprise-Pro,Smartphone-Flagship,7
CUST-000132,ACC-000132,APAC,Japan,Consumer,Postpaid-Annual,Unlimited,Smartphone-Mid,40
CUST-000133,ACC-000133,APAC,Japan,Small Business,Postpaid-Monthly,Premium,Smartphone-Flagship,44
CUST-000134,ACC-000134,EU,Spain,Small Business,Postpaid-Monthly,Premium,Smartphone-Flagship,65
CUST-000135,ACC-000135,MEA,UAE,Consumer,Postpaid-Monthly,Standard,Smartphone-Mid,58
CUST-000136,ACC-000136,EU,Spain,Consumer,Prepaid,SMB-Plus,Smartphone-Flagship,42
CUST-000137,ACC-000137,EU,Italy,Consumer,Postpaid-Annual,Enterprise-Pro,Smartphone-Flagship,14
CUST-000138,ACC-000138,NA,USA-West,Consumer,Postpaid-Monthly,Family,Smartphone-Mid,44
CUST-000139,ACC-000139,EU,France,Consumer,Postpaid-Monthly,Basic,Smartphone-Mid,55
CUST-000140,ACC-000140,MEA,Saudi Arabia,Consumer,Postpaid-Annual,SMB-Plus,Smartphone-Flagship,12
CUST-000141,ACC-000141,MEA,South Africa,Small Business,Prepaid,Basic,Feature Phone,9
CUST-000142,ACC-000142,APAC,Japan,Consumer,Postpaid-Annual,Premium,Smartphone-Budget,26
CUST-000143,ACC-000143,EU,France,Small Business,Postpaid-Monthly,Basic,Smartphone-Budget,58
CUST-000144,ACC-000144,EU,France,Consumer,Postpaid-Monthly,Standard,IoT/Modem,13
CUST-000145,ACC-000145,APAC,South Korea,Consumer,Postpaid-Annual,Basic,Smartphone-Budget,9
CUST-000146,ACC-000146,APAC,South Korea,Small Business,Postpaid-Annual,Unlimited,Smartphone-Mid,69
CUST-000147,ACC-000147,NA,USA-East,Consumer,Prepaid,Premium,Tablet,69
CUST-000148,ACC-000148,EU,Germany,Enterprise,Postpaid-Monthly,Basic,Smartphone-Mid,53
CUST-000149,ACC-000149,APAC,Australia,Consumer,Postpaid-Monthly,Standard,Smartphone-Budget,69
CUST-000150,ACC-000150,APAC,Singapore,Consumer,Prepaid,Unlimited,Smartphone-Mid,35
CUST-000151,ACC-000151,MEA,Saudi Arabia,Small Business,Prepaid,Premium,Tablet,11
CUST-000152,ACC-000152,APAC,Singapore,Enterprise,Prepaid,Premium,Tablet,47
CUST-000153,ACC-000153,APAC,Australia,Consumer,Postpaid-Monthly,Premium,Tablet,13
CUST-000154,ACC-000154,EU,Italy,Small Business,Postpaid-Monthly,Premium,Smartphone-Mid,47
CUST-000155,ACC-000155,MEA,Egypt,Enterprise,Postpaid-Monthly,Family,Smartphone-Mid,18
CUST-000156,ACC-000156,APAC,Australia,Consumer,Postpaid-Annual,Premium,Smartphone-Mid,3
CUST-000157,ACC-000157,NA,USA-East,Consumer,Prepaid,SMB-Plus,Smartphone-Budget,10
CUST-000158,ACC-000158,NA,Canada-East,Small Business,Postpaid-Monthly,Unlimited,Smartphone-Budget,8
CUST-000159,ACC-000159,APAC,Singapore,Enterprise,Prepaid,Unlimited,Smartphone-Budget,56
CUST-000160,ACC-000160,NA,Canada-East,Consumer,Postpaid-Monthly,Unlimited,Smartphone-Budget,6
CUST-000161,ACC-000161,EU,France,Consumer,Prepaid,Family,Tablet,20
CUST-000162,ACC-000162,NA,Canada-West,Consumer,Prepaid,Basic,Smartphone-Flagship,2
CUST-000163,ACC-000163,NA,Canada-East,Enterprise,Prepaid,Standard,Smartphone-Mid,58
CUST-000164,ACC-000164,NA,USA-East,Consumer,Postpaid-Monthly,Standard,Smartphone-Mid,62
CUST-000165,ACC-000165,APAC,South Korea,Consumer,Prepaid,Standard,Smartphone-Flagship,64
CUST-000166,ACC-000166,LATAM,Chile,Consumer,Postpaid-Monthly,Basic,Tablet,62
CUST-000167,ACC-000167,EU,Spain,Consumer,Postpaid-Monthly,Standard,Smartphone-Mid,18
CUST-000168,ACC-000168,APAC,Singapore,Consumer,Postpaid-Monthly,Premium,Smartphone-Mid,17
CUST-000169,ACC-000169,APAC,Australia,Consumer,Postpaid-Monthly,Family,Smartphone-Budget,35
CUST-000170,ACC-000170,NA,Canada-East,Consumer,Prepaid,Standard,Smartphone-Budget,40
CUST-000171,ACC-000171,NA,Canada-East,Consumer,Postpaid-Annual,Unlimited,Smartphone-Budget,11
CUST-000172,ACC-000172,APAC,India,Enterprise,Prepaid,Family,Smartphone-Mid,8
CUST-000173,ACC-000173,EU,France,Consumer,Prepaid,Standard,Smartphone-Budget,45
CUST-000174,ACC-000174,APAC,South Korea,Small Business,Postpaid-Annual,Premium,Smartphone-Budget,65
CUST-000175,ACC-000175,NA,USA-East,Small Business,Prepaid,Unlimited,Smartphone-Mid,15
CUST-000176,ACC-000176,APAC,South Korea,Small Business,Prepaid,Premium,Smartphone-Flagship,40
CUST-000177,ACC-000177,NA,Canada-West,Consumer,Postpaid-Annual,Standard,Smartphone-Budget,7
CUST-000178,ACC-000178,EU,France,Consumer,Prepaid,Standard,Smartphone-Budget,42
CUST-000179,ACC-000179,MEA,Kenya,Consumer,Postpaid-Annual,Basic,Feature Phone,54
CUST-000180,ACC-000180,APAC,India,Small Business,Postpaid-Monthly,Family,Smartphone-Mid,40
CUST-000181,ACC-000181,EU,Germany,Small Business,Postpaid-Monthly,Premium,Smartphone-Flagship,45
CUST-000182,ACC-000182,APAC,Singapore,Consumer,Prepaid,Premium,Tablet,13
CUST-000183,ACC-000183,MEA,Saudi Arabia,Consumer,Postpaid-Monthly,Enterprise-Pro,Smartphone-Budget,5
CUST-000184,ACC-000184,LATAM,Chile,Consumer,Prepaid,Unlimited,Tablet,37
CUST-000185,ACC-000185,APAC,Japan,Consumer,Prepaid,Standard,Smartphone-Mid,49
CUST-000186,ACC-000186,NA,Canada-West,Enterprise,Postpaid-Monthly,Basic,IoT/Modem,60
CUST-000187,ACC-000187,LATAM,Colombia,Consumer,Postpaid-Annual,Premium,Smartphone-Mid,53
CUST-000188,ACC-000188,NA,Canada-West,Consumer,Postpaid-Monthly,Unlimited,Smartphone-Mid,46
CUST-000189,ACC-000189,NA,Canada-West,Consumer,Postpaid-Monthly,Premium,Smartphone-Mid,15
CUST-000190,ACC-000190,APAC,India,Consumer,Postpaid-Annual,Standard,Smartphone-Flagship,56
CUST-000191,ACC-000191,APAC,India,Consumer,Postpaid-Annual,Unlimited,Smartphone-Budget,59
CUST-000192,ACC-000192,LATAM,Brazil,Consumer,Postpaid-Monthly,Basic,Smartphone-Budget,70
CUST-000193,ACC-000193,MEA,Egypt,Consumer,Postpaid-Monthly,Basic,Smartphone-Mid,35
CUST-000194,ACC-000194,NA,USA-East,Consumer,Prepaid,Unlimited,Smartphone-Mid,45
CUST-000195,ACC-000195,EU,France,Small Business,Postpaid-Monthly,Basic,Smartphone-Budget,70
CUST-000196,ACC-000196,EU,UK,Enterprise,Postpaid-Monthly,Premium,Smartphone-Budget,44
CUST-000197,ACC-000197,NA,Canada-West,Consumer,Postpaid-Monthly,Basic,Feature Phone,53
CUST-000198,ACC-000198,LATAM,Colombia,Consumer,Postpaid-Annual,Unlimited,Smartphone-Budget,18
CUST-000199,ACC-000199,LATAM,Brazil,Consumer,Prepaid,Standard,Smartphone-Flagship,31
CUST-000200,ACC-000200,LATAM,Colombia,Consumer,Postpaid-Monthly,Standard,Smartphone-Budget,33
CUST-000201,ACC-000201,NA,USA-West,Consumer,Postpaid-Annual,Basic,Smartphone-Budget,20
CUST-000202,ACC-000202,APAC,India,Small Business,Postpaid-Monthly,Basic,Smartphone-Mid,13
CUST-000203,ACC-000203,APAC,Australia,Consumer,Postpaid-Monthly,Premium,Smartphone-Budget,18
CUST-000204,ACC-000204,LATAM,Argentina,Consumer,Postpaid-Monthly,Standard,Feature Phone,40
CUST-000205,ACC-000205,NA,USA-East,Enterprise,Postpaid-Monthly,Basic,Smartphone-Mid,19
CUST-000206,ACC-000206,APAC,Singapore,Consumer,Postpaid-Monthly,Standard,Feature Phone,24
CUST-000207,ACC-000207,APAC,Japan,Consumer,Postpaid-Annual,Enterprise-Pro,Feature Phone,67
CUST-000208,ACC-000208,NA,USA-East,Consumer,Postpaid-Monthly,Basic,Smartphone-Flagship,53
CUST-000209,ACC-000209,APAC,Japan,Consumer,Postpaid-Monthly,Family,Smartphone-Mid,47
CUST-000210,ACC-000210,APAC,Australia,Enterprise,Postpaid-Monthly,Family,Smartphone-Mid,45
CUST-000211,ACC-000211,NA,Canada-West,Small Business,Prepaid,Standard,Smartphone-Mid,20
CUST-000212,ACC-000212,NA,USA-West,Consumer,Postpaid-Monthly,Premium,Smartphone-Budget,30
CUST-000213,ACC-000213,NA,USA-West,Consumer,Prepaid,Basic,Smartphone-Flagship,21
CUST-000214,ACC-000214,APAC,Australia,Consumer,Postpaid-Annual,Premium,Smartphone-Mid,41
CUST-000215,ACC-000215,NA,Canada-East,Consumer,Postpaid-Monthly,Enterprise-Pro,IoT/Modem,62
CUST-000216,ACC-000216,APAC,India,Consumer,Prepaid,Standard,Smartphone-Budget,59
CUST-000217,ACC-000217,EU,UK,Consumer,Prepaid,Premium,Smartphone-Budget,1
CUST-000218,ACC-000218,NA,Canada-West,Consumer,Prepaid,Standard,Feature Phone,32
CUST-000219,ACC-000219,NA,Canada-East,Consumer,Postpaid-Monthly,Premium,Smartphone-Budget,59
CUST-000220,ACC-000220,LATAM,Chile,Consumer,Postpaid-Monthly,Standard,Smartphone-Mid,17
CUST-000221,ACC-000221,NA,USA-West,Consumer,Postpaid-Monthly,Unlimited,Smartphone-Mid,70
CUST-000222,ACC-000222,NA,Canada-West,Consumer,Prepaid,Unlimited,Smartphone-Budget,11
CUST-000223,ACC-000223,APAC,India,Enterprise,Prepaid,Family,Smartphone-Mid,18
CUST-000224,ACC-000224,EU,Italy,Consumer,Postpaid-Monthly,Standard,Smartphone-Mid,12
CUST-000225,ACC-000225,APAC,South Korea,Consumer,Postpaid-Annual,Standard,IoT/Modem,5
CUST-000226,ACC-000226,APAC,South Korea,Consumer,Prepaid,Enterprise-Pro,IoT/Modem,59
CUST-000227,ACC-000227,MEA,Egypt,Consumer,Prepaid,Family,Tablet,38
CUST-000228,ACC-000228,EU,Italy,Consumer,Postpaid-Monthly,Premium,IoT/Modem,47
CUST-000229,ACC-000229,LATAM,Mexico,Consumer,Prepaid,Enterprise-Pro,Smartphone-Flagship,60
CUST-000230,ACC-000230,NA,USA-East,Consumer,Prepaid,Basic,Smartphone-Mid,37
CUST-000231,ACC-000231,LATAM,Argentina,Consumer,Prepaid,Enterprise-Pro,Smartphone-Budget,34
CUST-000232,ACC-000232,EU,France,Consumer,Postpaid-Monthly,Standard,Tablet,46
CUST-000233,ACC-000233,NA,USA-East,Consumer,Postpaid-Monthly,SMB-Plus,Smartphone-Mid,10
CUST-000234,ACC-000234,EU,UK,Consumer,Postpaid-Monthly,Premium,Smartphone-Mid,3
CUST-000235,ACC-000235,APAC,South Korea,Consumer,Postpaid-Annual,Premium,Smartphone-Flagship,38
CUST-000236,ACC-000236,NA,Canada-East,Small Business,Prepaid,Basic,IoT/Modem,28
CUST-000237,ACC-000237,APAC,Japan,Enterprise,Postpaid-Monthly,SMB-Plus,Smartphone-Mid,51
CUST-000238,ACC-000238,APAC,Japan,Consumer,Postpaid-Annual,Unlimited,IoT/Modem,15
CUST-000239,ACC-000239,NA,USA-East,Consumer,Postpaid-Monthly,Premium,Tablet,67
CUST-000240,ACC-000240,APAC,South Korea,Consumer,Prepaid,Standard,Smartphone-Flagship,48
CUST-000241,ACC-000241,MEA,Saudi Arabia,Consumer,Prepaid,Premium,Tablet,43
CUST-000242,ACC-000242,MEA,Saudi Arabia,Consumer,Postpaid-Monthly,Premium,Smartphone-Mid,54
CUST-000243,ACC-000243,MEA,Egypt,Consumer,Postpaid-Monthly,Standard,Smartphone-Flagship,17
CUST-000244,ACC-000244,EU,Germany,Consumer,Prepaid,Basic,IoT/Modem,10
CUST-000245,ACC-000245,APAC,Australia,Consumer,Postpaid-Annual,Basic,Tablet,11
CUST-000246,ACC-000246,MEA,UAE,Consumer,Prepaid,Standard,Smartphone-Budget,26
CUST-000247,ACC-000247,EU,Spain,Consumer,Postpaid-Monthly,Unlimited,IoT/Modem,31
CUST-000248,ACC-000248,MEA,Saudi Arabia,Consumer,Prepaid,Unlimited,IoT/Modem,21
CUST-000249,ACC-000249,MEA,UAE,Small Business,Prepaid,Premium,Tablet,51
CUST-000250,ACC-000250,LATAM,Brazil,Consumer,Postpaid-Monthly,Premium,IoT/Modem,68
CUST-000251,ACC-000251,APAC,Australia,Consumer,Postpaid-Monthly,Unlimited,Smartphone-Flagship,18
CUST-000252,ACC-000252,EU,Italy,Enterprise,Prepaid,Premium,Smartphone-Mid,24
CUST-000253,ACC-000253,LATAM,Argentina,Consumer,Postpaid-Monthly,Standard,Smartphone-Budget,4
CUST-000254,ACC-000254,EU,Italy,Enterprise,Prepaid,Unlimited,Smartphone-Mid,39
CUST-000255,ACC-000255,APAC,Singapore,Consumer,Postpaid-Monthly,Standard,Smartphone-Mid,38
CUST-000256,ACC-000256,NA,USA-East,Consumer,Prepaid,Standard,Smartphone-Mid,9
CUST-000257,ACC-000257,MEA,Saudi Arabia,Small Business,Postpaid-Monthly,SMB-Plus,Smartphone-Mid,51
CUST-000258,ACC-000258,NA,USA-West,Enterprise,Postpaid-Monthly,Basic,Feature Phone,2
CUST-000259,ACC-000259,NA,Canada-West,Consumer,Postpaid-Monthly,Premium,Smartphone-Flagship,66
CUST-000260,ACC-000260,APAC,Australia,Small Business,Prepaid,Premium,Smartphone-Mid,10
CUST-000261,ACC-000261,NA,USA-East,Consumer,Prepaid,Unlimited,Smartphone-Flagship,11
CUST-000262,ACC-000262,MEA,South Africa,Small Business,Prepaid,Premium,Smartphone-Flagship,24
CUST-000263,ACC-000263,APAC,Australia,Consumer,Postpaid-Monthly,Standard,Smartphone-Mid,47
CUST-000264,ACC-000264,EU,UK,Small Business,Postpaid-Monthly,Standard,Smartphone-Mid,10
CUST-000265,ACC-000265,LATAM,Colombia,Consumer,Prepaid,Standard,Smartphone-Budget,14
CUST-000266,ACC-000266,NA,USA-East,Enterprise,Postpaid-Monthly,Unlimited,Smartphone-Mid,13
